timestamp,pred,p2,angle,vote,state,lying_frames
1780918994.222143,0,0.0,0.0,0,NORMAL,0
1780918994.4779103,0,0.0,0.0,0,NORMAL,0
1780918994.6238368,0,0.0,0.0,0,NORMAL,0
1780918994.7449985,0,0.0,0.0,0,NORMAL,0
1780918994.8628166,0,0.0,0.0,0,NORMAL,0
1780918994.983433,0,0.0,0.0,0,NORMAL,0
1780918995.107636,0,0.0,0.0,0,NORMAL,0
1780918995.2257378,0,0.0,0.0,0,NORMAL,0
1780918995.3510866,0,0.0,0.0,0,NORMAL,0
1780918995.4763641,0,0.0,0.0,0,NORMAL,0
1780918995.5959263,0,0.0,0.0,0,NORMAL,0
1780918995.7181814,0,0.0,0.0,0,NORMAL,0
1780918995.8400018,0,0.0,0.0,0,NORMAL,0
1780918995.9630547,0,0.0,0.0,0,NORMAL,0
1780918996.0872374,0,0.0,0.0,0,NORMAL,0
1780918996.2102282,0,0.0,0.0,0,NORMAL,0
1780918996.3415196,0,0.0,0.0,0,NORMAL,0
1780918996.4661634,0,0.0,0.0,0,NORMAL,0
1780918996.5891788,0,0.0,0.0,0,NORMAL,0
1780918996.7151978,0,0.0,0.0,0,NORMAL,0
1780918996.8421783,0,0.0,0.0,0,NORMAL,0
1780918996.9712896,0,0.0,0.0,0,NORMAL,0
1780918997.0930438,0,0.0,0.0,0,NORMAL,0
1780918997.221136,0,0.0,0.0,0,NORMAL,0
1780918997.346434,0,0.0,0.0,0,NORMAL,0
1780918998.3736346,0,0.0,0.0,0,NORMAL,0
1780918998.4633164,0,0.0,0.0,0,NORMAL,0
1780918998.5508351,0,0.0,0.0,0,NORMAL,0
1780918998.6403832,0,0.0,0.0,0,NORMAL,0
1780918998.7294362,0,0.0,0.0,0,NORMAL,0
1780918998.8157713,0,0.0,0.0,0,NORMAL,0
1780918998.908133,0,0.0,0.0,0,NORMAL,0
1780918998.9966218,0,0.0,0.0,0,NORMAL,0
1780918999.089131,0,0.0,0.0,0,NORMAL,0
1780918999.202244,0,0.0,0.0,0,NORMAL,0
1780918999.3187852,0,0.0,0.0,0,NORMAL,0
1780918999.4438474,0,0.0,0.0,0,NORMAL,0
1780918999.5643606,0,0.0,0.0,0,NORMAL,0
1780918999.6813977,0,0.0,0.0,0,NORMAL,0
1780918999.796978,0,0.0,0.0,0,NORMAL,0
1780918999.9181027,0,0.0,0.0,0,NORMAL,0
1780919000.0451608,0,0.0,0.0,0,NORMAL,0
1780919000.1865106,0,0.0,0.0,0,NORMAL,0
1780919000.3174717,0,0.0,0.0,0,NORMAL,0
1780919000.4433944,0,0.0,0.0,0,NORMAL,0
1780919000.5631096,0,0.0,0.0,0,NORMAL,0
1780919000.6821442,0,0.0,0.0,0,NORMAL,0
1780919000.7996914,0,0.0,0.0,0,NORMAL,0
1780919000.9136786,0,0.0,0.0,0,NORMAL,0
1780919001.0318594,0,0.0,0.0,0,NORMAL,0
1780919001.1488945,0,0.0,0.0,0,NORMAL,0
1780919001.2774582,0,0.0,0.0,0,NORMAL,0
1780919001.4072,0,0.0,0.0,0,NORMAL,0
1780919001.5287101,0,0.0,0.0,0,NORMAL,0
1780919001.6444254,0,0.0,0.0,0,NORMAL,0
1780919001.76814,0,0.0,0.0,0,NORMAL,0
1780919001.8936894,0,0.0,0.0,0,NORMAL,0
1780919002.0122392,0,0.0,0.0,0,NORMAL,0
1780919002.1322863,0,0.0,0.0,0,NORMAL,0
1780919002.2538984,0,0.0,0.0,0,NORMAL,0
1780919002.3764858,0,0.0,0.0,0,NORMAL,0
1780919002.495429,0,0.0,0.0,0,NORMAL,0
1780919002.6346,0,0.0,0.0,0,NORMAL,0
1780919002.7763364,0,0.0,0.0,0,NORMAL,0
1780919002.9131393,0,0.0,0.0,0,NORMAL,0
1780919003.0547845,0,0.0,0.0,0,NORMAL,0
1780919003.1946235,0,0.0,0.0,0,NORMAL,0
1780919003.3342352,0,0.0,0.0,0,NORMAL,0
