timestamp,pred,p2,angle,vote,state,lying_count
1780918850.901523,0,0.0,1.5337706302830156,0,NORMAL,0
1780918851.1537614,0,0.0,1.5418855161173894,0,NORMAL,0
1780918851.2858844,0,0.0,1.1875840248725353,0,NORMAL,0
1780918851.4170911,0,0.0,1.1608361236782514,0,NORMAL,0
1780918851.5411675,0,0.0,1.624050022829266,0,NORMAL,0
1780918851.6684442,0,0.0,1.5783228238756521,0,NORMAL,0
1780918851.7934313,0,0.0,1.1946568203181869,0,NORMAL,0
1780918851.9182432,0,0.0,1.1319062398934534,0,NORMAL,0
1780918852.057149,0,0.0,0.8315989214324588,0,NORMAL,0
1780918852.1805956,0,0.0,1.0278082931437211,0,NORMAL,0
1780918852.2981,0,0.0,1.6994507346291243,0,NORMAL,0
1780918852.4076471,0,0.0,2.0847016686315953,0,NORMAL,0
1780918852.5291753,0,0.0,2.0976921070086405,0,NORMAL,0
1780918852.6492608,0,0.0,2.0077440813451233,0,NORMAL,0
1780918852.7728188,0,0.0,2.0433838332960192,0,NORMAL,0
1780918852.895922,0,0.0,2.1220187399506756,0,NORMAL,0
1780918853.0400329,0,0.0,2.436958968002017,0,NORMAL,0
1780918853.2773364,0,0.0,2.5111886647911774,0,NORMAL,0
1780918853.4056327,0,0.0,2.4688334093693243,0,NORMAL,0
1780918853.522691,0,0.0,2.4297201326837694,0,NORMAL,0
1780918853.6366708,0,0.0,2.3408268788441546,0,NORMAL,0
1780918853.7471366,0,0.0,2.318803518264076,0,NORMAL,0
1780918853.8535388,0,0.0,2.2908956649780805,0,NORMAL,0
1780918853.957344,0,0.0,2.2376488261147642,0,NORMAL,0
1780918854.0556717,0,0.0,1.9791939334618576,0,NORMAL,0
1780918854.165833,0,0.0,1.918983763118547,0,NORMAL,0
1780918854.2737226,0,0.0,1.9033082606681546,0,NORMAL,0
1780918854.3815022,0,0.0,1.9015786041863123,0,NORMAL,0
1780918854.4800355,0,0.0,1.5938780068618712,0,NORMAL,0
1780918854.5727463,0,0.0,1.4696832147986356,0,NORMAL,0
1780918854.662291,0,0.0,1.672498652298117,0,NORMAL,0
1780918854.7583344,0,0.0,1.5904547432321579,0,NORMAL,0
1780918854.8498971,0,0.0,1.9987287912566387,0,NORMAL,0
1780918854.9545677,0,0.0,2.0003433571912694,0,NORMAL,0
1780918855.0685194,0,0.0,2.001490043214119,0,NORMAL,0
1780918855.1763072,0,0.0,1.9811471168143555,0,NORMAL,0
1780918855.2763512,0,0.0,1.7632774771423954,0,NORMAL,0
1780918855.377298,0,0.0,1.726798995828915,0,NORMAL,0
1780918855.47308,0,0.0,1.6330056297271085,0,NORMAL,0
1780918855.5646067,0,0.0,1.5008522343413802,0,NORMAL,0
1780918855.656169,0,0.0,1.448613545167916,0,NORMAL,0
1780918855.7522776,0,0.0,1.38823604758241,0,NORMAL,0
1780918855.8558261,0,0.0,1.1719892312370632,0,NORMAL,0
1780918855.9562411,0,0.0,1.3596127155918794,0,NORMAL,0
1780918856.0593052,0,0.0,1.5679230997999412,0,NORMAL,0
1780918856.1614177,0,0.0,1.6863230287636668,0,NORMAL,0
1780918856.2705052,0,0.0,1.76146513090265,0,NORMAL,0
1780918856.3703523,0,0.0,1.7230781599688214,0,NORMAL,0
1780918856.4658663,0,0.0,1.7466977423636934,0,NORMAL,0
1780918856.5587132,0,0.0,1.726302068595885,0,NORMAL,0
1780918856.654286,0,0.0,1.9685884527737585,0,NORMAL,0
1780918856.752344,0,0.0,1.7366769647560432,0,NORMAL,0
1780918856.8456955,0,0.0,1.6020149723672148,0,NORMAL,0
1780918856.9448779,0,0.0,1.670817781867754,0,NORMAL,0
1780918857.0465117,0,0.0,0.9538150984892866,0,NORMAL,0
1780918857.151123,0,0.0,0.708261965547706,0,NORMAL,0
1780918857.262694,0,0.0,0.4808503371949371,0,NORMAL,0
1780918857.3662527,0,0.0,0.42717043449073344,0,NORMAL,0
1780918857.4667695,0,0.0,0.4211911934228283,0,NORMAL,0
1780918857.5612733,0,0.0,0.4151888282601135,0,NORMAL,0
1780918857.6473174,0,0.0,0.3898257050819609,0,NORMAL,0
1780918857.7401989,0,0.0,0.26713506676190946,0,NORMAL,0
1780918857.836842,0,0.0,0.13737744388259898,0,NORMAL,0
